最新更新,2020/3/8 12:48,,,
判明日,検査数,陽性,検査数累計,陽性累計
3/3/2020,604,79,604,79
3/4/2020,110,3,714,82
3/5/2020,77,1,791,83
3/6/2020,101,7,892,90
3/7/2020,86,8,978,98
